,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2859,Hickman,Hickman,Hickman County,21105,KY,Kentucky,36.6781,-88.9761,4491
2860,Wahkiakum,Wahkiakum,Wahkiakum County,53069,WA,Washington,46.2918,-123.4244,4476
2861,Calhoun,Calhoun,Calhoun County,17013,IL,Illinois,39.1693,-90.6676,4472
2862,Adams,Adams,Adams County,16003,ID,Idaho,44.8895,-116.4538,4464
2863,Guadalupe,Guadalupe,Guadalupe County,35019,NM,New Mexico,34.8633,-104.7907,4413
2864,Marshall,Marshall,Marshall County,46091,SD,South Dakota,45.7586,-97.5986,4363
2865,Custer,Custer,Custer County,16037,ID,Idaho,44.2411,-114.2817,4344
2866,Kimble,Kimble,Kimble County,48267,TX,Texas,30.4868,-99.7487,4316
2867,Deuel,Deuel,Deuel County,46039,SD,South Dakota,44.76,-96.668,4298
2868,Menominee,Menominee,Menominee County,55078,WI,Wisconsin,45.0044,-88.71,4279
2869,Holt,Holt,Holt County,29087,MO,Missouri,40.0944,-95.2155,4274
2870,Phillips,Phillips,Phillips County,30071,MT,Montana,48.2592,-107.9133,4233
2871,Mora,Mora,Mora County,35033,NM,New Mexico,36.0105,-104.945,4208
2872,Kittson,Kittson,Kittson County,27069,MN,Minnesota,48.7766,-96.7829,4191
2873,Bath,Bath,Bath County,51017,VA,Virginia,38.0587,-79.7411,4177
2874,Hidalgo,Hidalgo,Hidalgo County,35023,NM,New Mexico,31.914,-108.7148,4160
2875,Grant,Grant,Grant County,40053,OK,Oklahoma,36.7961,-97.7861,4152
2876,LaMoure,LaMoure,LaMoure County,38045,ND,North Dakota,46.4569,-98.5355,4135
2877,Tensas,Tensas,Tensas Parish,22107,LA,Louisiana,32.0019,-91.3401,4127
2878,Storey,Storey,Storey County,32029,NV,Nevada,39.447,-119.5293,4095
2879,Nuckolls,Nuckolls,Nuckolls County,31129,NE,Nebraska,40.1764,-98.0472,4092
2880,Barber,Barber,Barber County,20007,KS,Kansas,37.2289,-98.6848,4081
2881,Union,Union,Union County,35059,NM,New Mexico,36.4816,-103.471,4074
2882,Schuyler,Schuyler,Schuyler County,29197,MO,Missouri,40.4703,-92.521,4066
2883,Owsley,Owsley,Owsley County,21189,KY,Kentucky,37.4192,-83.6831,4054
2884,Stafford,Stafford,Stafford County,20185,KS,Kansas,38.031,-98.7174,4054
2885,Valley,Valley,Valley County,31175,NE,Nebraska,41.5673,-98.9819,4053
2886,Dunn,Dunn,Dunn County,38025,ND,North Dakota,47.3568,-102.6182,4049
2887,Meade,Meade,Meade County,20119,KS,Kansas,37.2382,-100.3662,4019
2888,Edmunds,Edmunds,Edmunds County,46045,SD,South Dakota,45.4188,-99.2153,4014
2889,Pierce,Pierce,Pierce County,38069,ND,North Dakota,48.2496,-99.9718,3999
2890,Wells,Wells,Wells County,38103,ND,North Dakota,47.5875,-99.6609,3990
2891,Gregory,Gregory,Gregory County,46053,SD,South Dakota,43.1924,-99.1856,3983
2892,Columbia,Columbia,Columbia County,53013,WA,Washington,46.2975,-117.9078,3980
2893,Kearny,Kearny,Kearny County,20093,KS,Kansas,38.0003,-101.3199,3964
2894,Mason,Mason,Mason County,48319,TX,Texas,30.7177,-99.2261,3959
2895,Red Lake,Red Lake,Red Lake County,27125,MN,Minnesota,47.8717,-96.0953,3912
2896,Sharkey,Sharkey,Sharkey County,28125,MS,Mississippi,32.8798,-90.8132,3910
2897,Corson,Corson,Corson County,46031,SD,South Dakota,45.7086,-101.1969,3906
2898,Sioux,Sioux,Sioux County,38085,ND,North Dakota,46.1127,-101.0404,3896
2899,Clark,Clark,Clark County,46025,SD,South Dakota,44.8582,-97.7295,3837
2900,Sargent,Sargent,Sargent County,38081,ND,North Dakota,46.1078,-97.6306,3828
2901,Pope,Pope,Pope County,17151,IL,Illinois,37.4127,-88.5615,3799
2902,Lake of the Woods,Lake of the Woods,Lake of the Woods County,27077,MN,Minnesota,48.7712,-94.9046,3786
2903,Knox,Knox,Knox County,29103,MO,Missouri,40.1282,-92.1481,3772
2904,Ellis,Ellis,Ellis County,40045,OK,Oklahoma,36.2184,-99.7546,3755
2905,Haskell,Haskell,Haskell County,20081,KS,Kansas,37.5622,-100.8712,3735
2906,Lyman,Lyman,Lyman County,46085,SD,South Dakota,43.8958,-99.8474,3719
2907,Echols,Echols,Echols County,13101,GA,Georgia,30.7101,-82.894,3707
2908,Chase,Chase,Chase County,31029,NE,Nebraska,40.5242,-101.698,3704
2909,Sheridan,Sheridan,Sheridan County,30091,MT,Montana,48.7212,-104.5047,3700
2910,Sweet Grass,Sweet Grass,Sweet Grass County,30097,MT,Montana,45.8139,-109.941,3697
2911,Cavalier,Cavalier,Cavalier County,38019,ND,North Dakota,48.7723,-98.4648,3691
2912,Adams,Adams,Adams County,19003,IA,Iowa,41.029,-94.6992,3680
2913,Fisher,Fisher,Fisher County,48151,TX,Texas,32.7428,-100.4022,3680
2914,Norton,Norton,Norton City,51720,VA,Virginia,36.9315,-82.6262,3668
2915,Hardin,Hardin,Hardin County,17069,IL,Illinois,37.5182,-88.2668,3665
2916,Catron,Catron,Catron County,35003,NM,New Mexico,33.9152,-108.4046,3635
2917,Lewis,Lewis,Lewis County,16061,ID,Idaho,46.237,-116.4263,3630
2918,Smith,Smith,Smith County,20183,KS,Kansas,39.7852,-98.7855,3561
2919,Hardeman,Hardeman,Hardeman County,48197,TX,Texas,34.2902,-99.7457,3541
2920,Costilla,Costilla,Costilla County,8023,CO,Colorado,37.2781,-105.4282,3534
2921,Mercer,Mercer,Mercer County,29129,MO,Missouri,40.4223,-93.5686,3517
2922,Baca,Baca,Baca County,8009,CO,Colorado,37.3192,-102.5604,3496
2923,Osborne,Osborne,Osborne County,20141,KS,Kansas,39.3503,-98.7679,3493
2924,Baylor,Baylor,Baylor County,48023,TX,Texas,33.6165,-99.2135,3475
2925,Hanson,Hanson,Hanson County,46061,SD,South Dakota,43.6748,-97.7873,3443
2926,Roger Mills,Roger Mills,Roger Mills County,40129,OK,Oklahoma,35.6883,-99.6958,3423
2927,Webster,Webster,Webster County,31181,NE,Nebraska,40.1764,-98.5,3410
2929,Kimball,Kimball,Kimball County,31105,NE,Nebraska,41.1978,-103.7149,3395
2930,Bennett,Bennett,Bennett County,46007,SD,South Dakota,43.195,-101.664,3391
2931,Tyrrell,Tyrrell,Tyrrell County,37177,NC,North Carolina,35.8172,-76.209,3389
2932,Chautauqua,Chautauqua,Chautauqua County,20019,KS,Kansas,37.15,-96.2454,3389
2933,Foster,Foster,Foster County,38031,ND,North Dakota,47.4571,-98.883,3388
2935,Hemphill,Hemphill,Hemphill County,48211,TX,Texas,35.8376,-100.2706,3371
2936,Granite,Granite,Granite County,30039,MT,Montana,46.4045,-113.4404,3368
2937,Nance,Nance,Nance County,31125,NE,Nebraska,41.3973,-97.9922,3366
2938,Traverse,Traverse,Traverse County,27155,MN,Minnesota,45.7722,-96.4716,3345
2939,Sutton,Sutton,Sutton County,48435,TX,Texas,30.4984,-100.5382,3345
2940,Knox,Knox,Knox County,48275,TX,Texas,33.6061,-99.7414,3333
2941,Hudspeth,Hudspeth,Hudspeth County,48229,TX,Texas,31.4562,-105.3865,3329
2942,Reagan,Reagan,Reagan County,48383,TX,Texas,31.3662,-101.5231,3308
2943,Coke,Coke,Coke County,48081,TX,Texas,31.8886,-100.53,3305
2944,Donley,Donley,Donley County,48129,TX,Texas,34.9654,-100.814,3298
2945,Emmons,Emmons,Emmons County,38029,ND,North Dakota,46.2851,-100.2387,3297
2946,Upton,Upton,Upton County,48461,TX,Texas,31.3688,-102.0431,3284
2947,Harper,Harper,Harper County,40059,OK,Oklahoma,36.7888,-99.6673,3272
2948,Concho,Concho,Concho County,48095,TX,Texas,31.3266,-99.864,3235
2949,Kinney,Kinney,Kinney County,48271,TX,Texas,29.3502,-100.418,3157
2950,Woodson,Woodson,Woodson County,20207,KS,Kansas,37.8867,-95.7401,3134
2951,Shackelford,Shackelford,Shackelford County,48417,TX,Texas,32.7359,-99.354,3134
2952,Harlan,Harlan,Harlan County,31083,NE,Nebraska,40.1765,-99.4046,3094
2953,Hand,Hand,Hand County,46059,SD,South Dakota,44.5478,-99.0049,3075
2954,Lipscomb,Lipscomb,Lipscomb County,48295,TX,Texas,36.2776,-100.2731,3038
2955,Nelson,Nelson,Nelson County,38063,ND,North Dakota,47.9217,-98.192,3025
2956,Stanley,Stanley,Stanley County,46117,SD,South Dakota,44.4123,-100.7359,2979
2957,Bowman,Bowman,Bowman County,38011,ND,North Dakota,46.1126,-103.5206,2975
2958,Sherman,Sherman,Sherman County,31163,NE,Nebraska,41.2206,-98.9762,2970
2959,Perkins,Perkins,Perkins County,46105,SD,South Dakota,45.4905,-102.4757,2970
2960,Crockett,Crockett,Crockett County,48105,TX,Texas,30.7231,-101.412,2949
2961,Fallon,Fallon,Fallon County,30025,MT,Montana,46.334,-104.4174,2941
2962,Rush,Rush,Rush County,20165,KS,Kansas,38.5231,-99.3092,2939
2963,Lincoln,Lincoln,Lincoln County,20105,KS,Kansas,39.0453,-98.2077,2929
2964,Jewell,Jewell,Jewell County,20089,KS,Kansas,39.7847,-98.2183,2929
2965,Sierra,Sierra,Sierra County,6091,CA,California,39.5803,-120.5161,2916
2966,Glascock,Glascock,Glascock County,13125,GA,Georgia,33.2293,-82.6107,2903
2967,Franklin,Franklin,Franklin County,31061,NE,Nebraska,40.1763,-98.9528,2901
2968,Baker,Baker,Baker County,13007,GA,Georgia,31.3261,-84.4447,2878
2969,Collingsworth,Collingsworth,Collingsworth County,48087,TX,Texas,34.9648,-100.27,2865
2970,Perkins,Perkins,Perkins County,31135,NE,Nebraska,40.851,-101.6497,2860
2971,Clay,Clay,Clay County,13061,GA,Georgia,31.6262,-84.9801,2855
2972,Edwards,Edwards,Edwards County,20047,KS,Kansas,37.8876,-99.3122,2849
2973,Hall,Hall,Hall County,48191,TX,Texas,34.5308,-100.6811,2847
2974,Jackson,Jackson,Jackson County,46071,SD,South Dakota,43.6943,-101.6281,2838
2975,Real,Real,Real County,48385,TX,Texas,29.8318,-99.8222,2830
2976,Douglas,Douglas,Douglas County,46043,SD,South Dakota,43.3869,-98.3661,2823
2977,Trego,Trego,Trego County,20195,KS,Kansas,38.9143,-99.8728,2798
2978,Decatur,Decatur,Decatur County,20039,KS,Kansas,39.7847,-100.4599,2771
2979,Gove,Gove,Gove County,20063,KS,Kansas,38.9161,-100.483,2758
2980,Logan,Logan,Logan County,20109,KS,Kansas,38.9173,-101.1484,2752
2981,Brown,Brown,Brown County,31017,NE,Nebraska,42.43,-99.9295,2691
2982,Morton,Morton,Morton County,20129,KS,Kansas,37.1914,-101.7992,2688
2983,Ness,Ness,Ness County,20135,KS,Kansas,38.4794,-99.9161,2677
2984,Hitchcock,Hitchcock,Hitchcock County,31087,NE,Nebraska,40.1763,-101.0423,2620
2985,Cheyenne,Cheyenne,Cheyenne County,20023,KS,Kansas,39.7859,-101.7319,2619
2987,Butte,Butte,Butte County,16023,ID,Idaho,43.7229,-113.172,2605
2988,Aurora,Aurora,Aurora County,46003,SD,South Dakota,43.718,-98.5615,2590
2989,Potter,Potter,Potter County,46107,SD,South Dakota,45.0645,-99.9572,2587
