,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2070,West Feliciana,West Feliciana,West Feliciana Parish,22125,LA,Louisiana,-7.401528723062075,0.2385579607590813,15358
2071,Grayson,Grayson,Grayson County,51077,VA,Virginia,-1.6248287230620733,10.433657960759078,15356
2072,Tipton,Tipton,Tipton County,18159,IN,Indiana,2.0299712769379283,5.60665796075908,15328
2073,Lawrence,Lawrence,Lawrence County,17101,IL,Illinois,0.4386712769379244,3.931757960759086,15302
2074,Roseau,Roseau,Roseau County,27135,MN,Minnesota,10.493771276937927,-4.152242039240917,15294
2075,Kingfisher,Kingfisher,Kingfisher County,40073,OK,Oklahoma,-2.335928723062075,-6.283542039240913,15290
2076,Page,Page,Page County,19145,IA,Iowa,2.457771276937926,-3.491642039240915,15225
2077,Torrance,Torrance,Torrance County,35057,NM,New Mexico,-3.6408287230620715,-14.192242039240924,15203
2078,Macon,Macon,Macon County,29121,MO,Missouri,1.549471276937929,-0.9060420392409156,15173
2079,Alleghany,Alleghany,Alleghany County,51005,VA,Virginia,-0.4935287230620773,11.652357960759076,15159
2080,Cleburne,Cleburne,Cleburne County,1029,AL,Alabama,-4.606828723062073,6.139757960759084,15144
2081,Pecos,Pecos,Pecos County,48371,TX,Texas,-7.500328723062076,-11.064942039240918,15114
2082,Fleming,Fleming,Fleming County,21069,KY,Kentucky,0.0887712769379263,7.961857960759076,15111
2083,Jackson,Jackson,Jackson Parish,22049,LA,Louisiana,-5.979328723062075,-0.8992420392409173,15093
2084,Missaukee,Missaukee,Missaukee County,26113,MI,Michigan,6.056071276937928,6.56385796075908,15089
2085,Arenac,Arenac,Arenac County,26011,MI,Michigan,5.784171276937926,7.76335796075908,15031
2086,Jackson,Jackson,Jackson County,48239,TX,Texas,-9.327128723062074,-4.919042039240921,15010
2087,Gulf,Gulf,Gulf County,12045,FL,Florida,-8.324828723062076,6.432257960759088,15002
2088,Mitchell,Mitchell,Mitchell County,37121,NC,North Carolina,-2.2680287230620735,9.49495796075908,14989
2089,Hamilton,Hamilton,Hamilton County,19079,IA,Iowa,4.102471276937926,-2.048242039240918,14979
2090,Oglethorpe,Oglethorpe,Oglethorpe County,13221,GA,Georgia,-4.400628723062077,8.57785796075909,14974
2091,Clay,Clay,Clay County,46027,SD,South Dakota,4.633271276937926,-5.317042039240917,14953
2092,Sibley,Sibley,Sibley County,27143,MN,Minnesota,6.2981712769379286,-2.5735420392409196,14950
2093,Larue,Larue,Larue County,21123,KY,Kentucky,-0.7355287230620746,5.960657960759079,14902
2094,Jasper,Jasper,Jasper County,13159,GA,Georgia,-4.964828723062077,7.970557960759081,14882
2095,Clarke,Clarke,Clarke County,51043,VA,Virginia,0.8309712769379232,13.661857960759079,14882
2096,Bledsoe,Bledsoe,Bledsoe County,47007,TN,Tennessee,-2.6849287230620718,6.453457960759081,14816
2097,Karnes,Karnes,Karnes County,48255,TX,Texas,-9.375628723062075,-6.200842039240911,14805
